Date,Volatility_5,Change/Target,Pos,Neg,Sum,Num,Ave,reg_values,reg_Tree_values
1488187800,1.0186,-2.7,0,0,0,1,0,0.159043,0.4625
1488187860,0.8558,0.25,0,0,0,0,0,0.0159043,0.4939
1488187920,0.8538,-0.57,1,0,1,1,1,0.159043,0.4534
1488187980,0.8059,0.07,0,0,0,0,0,0.0159043,0.4939
1488188040,0.6972,-0.28,0,1,-1,1,-1,0.159043,0.1188
1488188100,0.8549,-0.85,1,1,0,1,0,0.159043,0.1188
1488188160,0.9933,0.78,2,0,2,1,2,0.159043,0.4079
1488188220,0.8755,-0.58,0,0,0,1,0,0.159043,0.4625
1488188280,0.767,-0.12,1,2,-1,4,-1,0.169781342,0.1188
1488188340,0.7314,-0.52,1,0,1,4,0,0.169781342,0.4625
1488188400,0.6009,0.03,1,0,1,1,1,0.159043,0.4534
1488188460,0.6105,-0.57,0,0,0,0,0,0.0159043,0.4939
1488188520,0.5037,-0.13,0,0,0,3,0,0.167552935,0.4625
1488188580,0.4591,0.02,0,0,0,1,0,0.159043,0.4625
1488188640,0.5028,0.56,0,0,0,1,0,0.159043,0.4625
1488188700,0.4785,0.38,4,1,3,3,1,0.167552935,0.1188
1488188760,0.539,0.55,0,0,0,0,0,0.0159043,0.4939
1488188820,0.5493,0.57,0,0,0,0,0,0.0159043,0.4939
1488188880,0.4762,-0.26,1,0,1,2,0,0.164412171,0.4625
1488188940,0.4108,0.07,0,0,0,0,0,0.0159043,0.4939
1488189000,0.3838,-0.1,3,1,2,3,0,0.167552935,0.1188
1488189060,0.4693,0.59,0,0,0,0,0,0.0159043,0.4939
1488189120,0.4229,0.17,0,0,0,0,0,0.0159043,0.4939
1488189180,0.3486,0.04,0,0,0,0,0,0.0159043,0.4939
1488189240,0.3991,0.17,0,0,0,1,0,0.159043,0.4625
1488189300,0.556,-0.71,0,0,0,0,0,0.0159043,0.4939
1488189360,0.4341,0.1,0,0,0,0,0,0.0159043,0.4939
1488189420,0.486,0.37,0,1,-1,1,-1,0.159043,0.1188
1488189480,0.5674,0.69,1,0,1,1,1,0.159043,0.4534
1488189540,0.8683,1.47,0,0,0,0,0,0.0159043,0.4939
1488189600,0.9788,-0.86,0,0,0,0,0,0.0159043,0.4939
1488189660,0.7659,0.29,0,0,0,0,0,0.0159043,0.4939
1488189720,0.6773,0.1,3,1,2,2,1,0.164412171,0.1188
1488189780,1.0982,-1.92,0,0,0,0,0,0.0159043,0.4939
1488189840,1.0854,0.91,0,0,0,0,0,0.0159043,0.4939
1488189900,0.9736,0.53,1,1,0,1,0,0.159043,0.1188
1488189960,0.7457,-0.23,3,2,1,2,0,0.164412171,0.1188
1488190020,0.7705,0.78,0,0,0,1,0,0.159043,0.4625
1488190080,0.6603,-0.38,0,0,0,1,0,0.159043,0.4625
1488190140,0.8068,1.09,5,1,4,5,0,0.171509829,0.1188
1488190200,0.8145,-0.83,0,0,0,0,0,0.0159043,0.4939
1488190260,0.7197,0.15,0,0,0,0,0,0.0159043,0.4939
1488190320,0.6198,-0.31,1,1,0,2,0,0.164412171,0.1188
1488190380,0.6998,-0.69,0,0,0,0,0,0.0159043,0.4939
1488190440,0.6399,0.38,0,0,0,0,0,0.0159043,0.4939
1488190500,0.5499,0.17,1,0,1,1,1,0.159043,0.4534
1488190560,0.6833,-0.88,2,0,2,2,1,0.164412171,0.4534
1488190620,0.5788,0.32,1,0,1,2,0,0.164412171,0.4625
1488190680,0.4992,-0.16,2,0,2,5,0,0.171509829,0.4625
1488190740,0.9262,-1.17,0,0,0,0,0,0.0159043,0.4939
1488190800,0.9608,0.77,0,0,0,0,0,0.0159043,0.4939
1488190860,0.8572,0.5,0,0,0,0,0,0.0159043,0.4939
